321981, 18-11-20 09:00, 30-11-20 14:21, desktop, DKIT-24105, D001228292
439953, 18-11-20 19:32, 22-11-20 16:10, laptop, DKIT-12345, D002526806
423509, 21-11-20 13:34, 	      , raspeberry-pi, DKIT-12345, D0004820520
524545, 26-11-20 10:24, 20-12-20 19:04, desktop, DKIT-12345, D0084027592
453424, 26-11-20 10:19,		      , laptop, DKIT-12345, D0010382042
454554, 26-11-20 17:45, 13-12-20 14:34, raspeberry-pi, DKIT-12345, D0093028592
234567, 30-11-20 14:22,		      , desktop, DKIT-12345, D0083028402
543666, 30-11-20 15:15,		      , laptop, DKIT-12345, D00048205829
089343, 30-11-20 17:23,		      , raspeberry-pi, DKIT-12345, D0028492048
456567, 08-12-20 11:09, 08-12-20 19:00, desktop, DKIT-12345, D0038205820
098842, 08-12-20 17:00,		      , laptop, DKIT-12345, D0058205820
234543, 12-12-20 11:11,		      , raspeberry-pi, DKIT-12345, D0038304829
092343, 12-12-20 16:01,		      , desktop, DKIT-12345, D0018393752
974234, 12-12-20 19:52, 18-12-20 13:43, laptop, DKIT-12345, D00936592
876543, 19-12-20 13:08,		      , raspeberry-pi, DKIT-12345, D009482641
567865, 20-12-20 10:15, 08-01-21 19:23, desktop, DKIT-12345, D001356913
098321, 22-12-20 08:30,		      , laptop, DKIT-12345, D001356913
123450, 22-12-20 12:02, 03-01-21 17:20, raspeberry-pi, DKIT-12345, D001356913
